run_family,paper_dataset,method,readout,projector,stability,submitted_seeds,config,objective,notes
ptbxl_jepa_cls,PTB-XL,JEPA,CLS,none,EMA target encoder,0-4,ViTXS_ptbxl,jepa,Main JEPA CLS baseline.
ptbxl_jepa_mean,PTB-XL,JEPA,mean,none,EMA target encoder,0-4,ViTXS_ptbxl,jepa,Main JEPA mean-pooling baseline.
ptbxl_nepa_stopgrad_mean_proj,PTB-XL,NEPA,mean,MLP,stop-gradient target,0-4,ViTXS_ptbxl,nepa_stopgrad,Main NEPA baseline with projector.
ptbxl_nepa_stopgrad_mean_noproj,PTB-XL,NEPA,mean,none,stop-gradient target,0-4,ViTXS_ptbxl,nepa_stopgrad,Projector ablation.
ptbxl_lenepa_t20_l0_8_pd0_proj,PTB-XL,LeNEPA,layer probes,MLP,temporal SIGReg lambda_T=20 layers 0 and 8,0-4,ViTXS_ptbxl,nepa_sigreg,Main LeNEPA configuration.
ptbxl_lenepa_t20_l0_8_pd0_noproj,PTB-XL,LeNEPA,layer probes,none,temporal SIGReg lambda_T=20 layers 0 and 8,0-4,ViTXS_ptbxl,nepa_sigreg,Projector ablation.
ptbxl_lenepa_bri20_l0_8_pd0_proj,PTB-XL,LeNEPA,layer probes,MLP,batch/representation/innovation SIGReg lambda=20,0-4,ViTXS_ptbxl,nepa_sigreg,Stabilization ablation.
aionoscope_jepa_cls,Aionoscope,JEPA,CLS,none,EMA target encoder,0-4,ViTXS_aiono,jepa,Main Aionoscope JEPA CLS baseline.
aionoscope_jepa_mean,Aionoscope,JEPA,mean,none,EMA target encoder,0-4,ViTXS_aiono,jepa,Main Aionoscope JEPA mean-pooling baseline.
aionoscope_nepa_stopgrad_mean_proj,Aionoscope,NEPA,mean,MLP,stop-gradient target,0-4,ViTXS_aiono,nepa_stopgrad,Main Aionoscope NEPA baseline.
aionoscope_nepa_stopgrad_mean_noproj,Aionoscope,NEPA,mean,none,stop-gradient target,0-4,ViTXS_aiono,nepa_stopgrad,Projector ablation.
aionoscope_lenepa_t20_l0_8_pd0_proj,Aionoscope,LeNEPA,layer probes,MLP,temporal SIGReg lambda_T=20 layers 0 and 8,0-4,ViTXS_aiono,nepa_sigreg,Main Aionoscope LeNEPA configuration.
aionoscope_lenepa_t20_l0_8_pd0_noproj,Aionoscope,LeNEPA,layer probes,none,temporal SIGReg lambda_T=20 layers 0 and 8,0-4,ViTXS_aiono,nepa_sigreg,Projector ablation.
aionoscope_lenepa_bri20_l0_8_pd0_proj,Aionoscope,LeNEPA,layer probes,MLP,batch/representation/innovation SIGReg lambda=20,0-4,ViTXS_aiono,nepa_sigreg,Stabilization ablation.
cauker_ucr,CauKer2M to UCR,LeNEPA,layer probes,MLP,temporal SIGReg lambda_T=2.5 layers 0 and 8,0,ViTXS_cauker2m,nepa_sigreg,UCR frozen-encoder check; D=256 and patch-normalized scalar stats.
